Recency,Frequency,Monetary,Cluster
28,3,1499.01,0
183,3,814.5,1
42,3,539.0,0
39,4,1366.86,0
92,2,1579.12,0
22,4,4027.36,0
23,2,571.6700000000001,0
29,2,382.98,0
301,3,1140.35,1
144,2,385.64,0
5,2,632.0,0
18,2,957.66,0
32,5,1698.94,0
176,1,189.5,1
57,3,412.05,0
22,1,209.49,0
16,6,2202.99,0
19,1,52.2,0
159,1,384.8,1
25,4,834.57,0
211,2,271.24,1
5,4,691.73,0
252,1,85.0,1
58,9,3385.62,0
11,1,361.62,0
64,1,312.98,0
24,3,865.0600000000001,0
92,3,1255.0,0
51,2,1537.95,0
129,1,1595.48,0
95,3,2651.46,0
57,1,1090.14,0
8,25,8109.519999999999,2
168,3,388.5,1
57,1,216.17,0
326,1,201.16,1
1,5,1245.9,0
18,8,2209.36,0
247,1,305.78,1
58,4,501.56,0
74,1,145.67000000000002,0
31,3,1015.29,0
7,2,3192.54,0
123,4,3104.95,0
2,8,2770.94,0
22,13,6403.25,0
119,3,389.6,0
358,1,540.45,1
53,5,1786.79,0
63,1,122.7,0
86,1,117.24,0
54,1,1281.53,0
21,13,3219.77,0
3,20,17159.52,2
2,5,1191.13,0
10,5,2674.48,0
7,5,787.6,0
189,2,506.8,1
71,1,243.56,0
204,1,349.55,1
119,2,605.63,0
92,1,416.9,0
1,10,1883.81,0
26,4,632.97,0
297,1,821.1,1
23,3,564.62,0
28,4,2593.07,0
50,1,311.16,0
325,1,155.93,1
16,2,388.52,0
183,3,740.95,1
72,5,2867.2,0
37,2,332.64,0
79,4,2369.55,0
57,9,2580.91,0
11,2,626.45,0
49,2,272.04,0
49,2,1212.84,0
59,2,384.81,0
351,1,172.25,1
53,1,351.13,0
1,6,1838.85,0
92,4,678.25,0
23,1,223.85,0
74,1,348.99,0
10,4,464.57,0
169,2,842.65,1
57,2,337.34,0
95,2,1237.53,0
294,1,307.4,1
109,2,608.7900000000001,0
263,1,922.1,1
179,1,376.58,1
169,1,158.85,1
35,1,71.66,0
23,3,568.55,0
17,4,839.14,0
21,5,5112.96,0
79,3,561.5699999999999,0
65,1,90.6,0
360,1,102.0,1
2,6,2427.32,0
11,4,745.06,0
176,3,674.45,1
217,2,3251.071,1
7,7,3515.68,0
1,2,439.92,0
154,2,322.96,1
5,5,1026.42,0
79,3,598.2,0
21,2,230.22,0
21,2,169.55,0
308,4,664.54,1
145,1,80.7,1
7,18,9053.94,2
18,8,2758.26,0
70,2,190.25,0
287,1,264.7,1
49,1,413.59,0
31,6,2526.28,0
206,1,357.98,1
14,2,196.79,0
73,1,869.87,0
60,1,200.14,0
39,4,1871.81,0
29,12,2603.43,0
26,5,920.51,0
4,15,7060.13,2
17,1,320.46,0
19,6,4147.96,0
65,2,1266.08,0
213,1,311.3,1
12,6,855.97,0
30,1,76.8,0
42,9,3466.36,0
3,6,2313.14,0
15,5,1393.69,0
10,12,3901.81,0
211,1,635.66,1
45,3,2043.08,0
134,2,529.73,0
43,7,4582.64,0
9,5,2874.72,0
115,3,962.19,0
198,2,695.61,1
277,1,328.8,1
110,3,473.02,0
77,1,505.18,0
52,1,917.34,0
161,4,4341.21,1
46,3,1421.61,0
16,2,642.8,0
155,3,631.9,1
225,1,440.0,1
7,2,584.07,0
121,2,327.7,0
60,1,104.82,0
63,2,467.66,0
18,8,2360.09,0
7,19,17286.86,2
2,11,2975.59,0
22,3,651.8199999999999,0
28,5,1428.02,0
284,1,626.65,1
176,2,147.20000000000002,1
78,3,1560.38,0
33,1,152.2,0
40,12,3614.92,0
266,1,141.41,1
26,4,652.82,0
109,4,1659.75,0
284,1,154.99,1
8,5,1308.61,0
305,1,409.93,1
16,4,5681.72,0
31,2,746.36,0
0,23,15610.39,2
19,1,225.36,0
124,2,260.25,0
65,1,92.46,0
106,1,725.6400000000001,0
1,23,8214.65,2
23,17,6217.96,2
266,1,183.6,1
4,19,6140.42,2
9,12,10464.85,2
29,5,1353.74,0
266,1,152.55,1
63,2,374.7,0
320,1,265.85,1
3,8,1438.82,0
32,1,151.04,0
4,3,942.26,0
129,1,122.47,0
40,5,499.42,0
101,6,1049.37,0
124,1,375.1,0
32,1,45.6,0
302,2,934.52,1
364,1,182.25,1
4,9,1018.43,0
2,18,4448.54,2
2,1,194.42,0
10,13,50491.81,2
56,1,161.0,0
324,1,76.32000000000001,1
7,14,4076.91,2
12,1,442.85,0
4,17,65164.79,2
36,1,147.35,0
16,11,3104.17,0
137,1,194.9,0
73,6,5976.79,0
5,5,1360.28,0
154,2,216.21,1
239,1,1266.23,1
51,7,2703.23,0
30,2,597.91,0
72,1,144.2,0
3,12,5683.15,0
14,4,692.85,0
22,7,2915.15,0
3,4,1840.42,0
273,2,386.53,1
19,5,1382.74,0
143,1,90.0,1
3,4,2780.15,0
84,1,419.58,0
10,3,2740.43,0
7,3,706.1300000000001,0
122,3,709.71,0
60,2,637.5,0
1,5,1123.86,0
319,1,483.86,1
2,11,3586.03,0
129,3,605.64,0
1,15,4690.31,2
1,2,982.38,0
46,1,415.82,0
3,2,935.05,0
2,4,915.13,0
373,1,311.81,1
133,1,115.8,0
46,4,3742.2,0
8,5,4191.0,0
78,2,483.4,0
233,1,157.2,1
220,1,446.62,1
35,2,658.64,0
75,2,621.29,0
239,2,1345.62,1
266,1,118.75,1
9,55,117379.63,3
19,2,432.88,0
40,1,507.66,0
19,11,4693.01,0
215,3,1110.52,1
173,2,289.36,1
87,4,2445.91,0
70,2,1631.77,0
275,1,122.54,1
39,4,574.84,0
98,1,363.79,0
10,4,450.84,0
33,1,134.46,0
59,3,3222.3,0
297,4,576.9000000000001,1
86,4,559.41,0
8,7,1620.93,0
40,2,719.78,0
10,25,4748.52,2
66,1,452.89,0
331,1,197.65,1
30,6,2054.36,0
2,15,4654.08,2
1,13,4684.76,0
67,2,853.39,0
4,21,11349.52,2
201,2,1012.0,1
106,1,335.52,0
18,4,701.4,0
218,1,185.4,1
60,7,747.44,0
2,1,161.03,0
16,2,466.7,0
239,1,328.16,1
94,1,151.74,0
10,6,2073.43,0
105,6,1905.84,0
53,9,2241.1,0
89,1,1070.48,0
30,5,1004.38,0
11,6,1789.72,0
3,4,1839.3,0
1,17,2004.98,2
42,1,169.48000000000002,0
4,1,89.94,0
247,2,632.4,1
42,9,3432.8,0
177,1,683.17,1
92,3,991.13,0
110,4,1050.12,0
28,5,2232.19,0
26,10,3350.96,0
51,3,1547.2,0
183,3,925.71,1
42,5,2048.07,0
49,4,1462.72,0
22,4,775.46,0
75,5,3144.86,0
80,2,490.86,0
373,1,161.0,1
326,1,146.85,1
43,11,2380.85,0
30,2,890.34,0
183,1,213.7,1
234,2,280.55,1
8,10,2588.77,0
219,2,1693.45,1
110,3,1474.06,0
278,1,136.76999999999998,1
318,1,302.58,1
7,3,1904.05,0
1,5,2879.7000000000003,0
260,2,969.06,1
64,5,3099.7200000000003,0
9,9,12669.98,0
141,1,120.0,0
50,2,1163.45,0
8,8,2618.23,0
154,2,333.97,1
109,2,530.18,0
162,3,1516.24,1
331,1,492.65,1
225,1,112.32,1
73,2,437.96,0
51,4,559.97,0
98,3,1119.74,0
15,3,4216.2,0
196,1,134.04,1
3,15,3729.34,2
30,2,595.25,0
21,4,1910.01,0
23,3,4628.75,0
8,3,176.63,0
213,1,426.6,1
8,6,911.26,0
11,5,2314.65,0
1,11,3883.25,0
7,9,4871.93,0
3,4,1046.56,0
40,1,166.20000000000002,0
17,4,1305.33,0
8,44,51527.3,2
8,9,3965.62,0
18,1,43.2,0
117,1,640.14,0
222,1,383.45,1
71,3,1858.96,0
51,2,2093.32,0
88,6,2995.72,0
8,9,2352.53,0
242,1,310.26,1
46,6,1611.59,0
106,1,120.0,0
44,6,2481.13,0
64,1,508.58,0
206,2,477.79,1
10,5,1530.75,0
114,2,605.0600000000001,0
242,1,183.85,1
163,1,311.65,1
17,7,5014.84,0
124,2,462.66,0
22,3,866.31,0
67,1,415.2,0
16,8,2552.21,0
16,2,468.26,0
16,4,1614.91,0
161,2,588.22,1
242,1,309.52,1
218,1,134.7,1
45,8,2182.28,0
21,4,668.5600000000001,0
127,8,889.9300000000001,0
38,1,108.98,0
120,2,1021.58,0
260,1,409.57,1
10,1,133.5,0
274,1,282.93,1
164,1,51.0,1
157,4,1078.96,1
215,1,90.6,1
5,2,163.62,0
365,1,174.4,1
79,2,701.23,0
43,1,225.77,0
19,3,912.18,0
31,4,2128.23,0
22,1,161.2,0
108,8,3717.35,0
8,16,9261.52,2
319,1,155.0,1
295,1,100.5,1
358,1,76.55,1
185,1,257.68,1
191,2,617.05,1
44,2,348.1,0
52,1,202.68,0
26,1,626.0699999999999,0
38,3,1247.69,0
9,3,202.11,0
296,1,142.4,1
32,3,1770.56,0
10,8,3212.84,0
65,2,1043.46,0
10,9,4652.82,0
218,1,67.95,1
2,9,3507.71,0
65,2,487.99,0
2,19,2612.96,2
149,1,574.7,1
4,13,4051.48,0
130,4,1475.81,0
33,6,1474.32,0
119,1,156.75,0
107,6,2157.73,0
10,7,2606.53,0
71,6,2059.4500000000003,0
92,9,1105.07,0
310,1,1063.0,1
42,2,770.03,0
362,1,122.7,1
91,7,1496.98,0
1,13,5900.28,0
22,2,490.22,0
3,3,1937.25,0
10,6,1058.06,0
99,1,387.52,0
57,2,813.11,0
0,6,4263.64,0
218,1,265.2,1
17,1,322.08,0
23,10,4481.67,0
50,2,363.34,0
7,5,1244.83,0
302,1,470.36,1
9,6,2255.51,0
21,6,1372.8,0
98,1,89.06,0
365,1,63.0,1
306,1,131.9,1
319,1,2661.24,1
8,5,2357.6800000000003,0
0,4,1712.89,0
204,2,1589.82,1
53,4,1420.2,0
0,4,1039.58,0
18,5,1163.23,0
9,2,375.35,0
18,4,907.1,0
180,3,483.25,1
60,2,662.59,0
10,2,264.44,0
190,1,119.93,1
5,9,3062.4,0
310,1,113.64,1
155,1,1837.92,1
110,3,434.34,0
148,3,2103.06,1
66,11,2004.02,0
98,3,529.62,0
246,3,1058.62,1
29,7,2272.4,0
17,4,598.76,0
11,2,461.19,0
103,8,1936.84,0
74,2,234.34000000000003,0
46,1,547.66,0
71,3,925.85,0
257,1,215.7,1
19,4,1309.6,0
253,2,316.25,1
11,1,279.05,0
164,2,636.51,1
18,6,2068.15,0
281,1,137.1,1
50,1,321.92,0
38,1,165.75,0
26,6,1196.33,0
67,1,1064.28,0
207,1,463.38,1
175,2,340.93,1
7,5,2383.24,0
25,1,139.56,0
50,2,123.8,0
311,2,538.8100000000001,1
309,1,475.37,1
42,5,1957.32,0
26,3,815.32,0
88,3,356.85,0
183,2,251.21,1
19,11,2470.67,0
3,6,3543.26,0
47,4,673.26,0
17,8,5905.64,0
17,5,2012.17,0
23,6,1383.18,0
22,2,276.42,0
11,5,1314.81,0
187,2,275.28,1
100,3,455.59,0
61,3,1055.35,0
17,6,2102.09,0
33,2,330.45,0
64,1,174.37,0
1,2,270.6,0
24,4,974.54,0
108,1,241.09,0
31,9,1867.68,0
19,9,4332.2,0
2,55,8508.82,2
37,1,364.22,0
60,3,620.04,0
25,6,2925.91,0
236,4,932.85,1
24,7,1949.72,0
2,18,4447.05,2
60,3,2864.19,0
259,1,171.8,1
57,1,355.56,0
64,2,388.25,0
15,2,537.48,0
9,3,996.26,0
58,8,1461.65,0
185,1,103.25,1
28,16,3630.33,2
24,2,2024.45,0
5,5,2578.09,0
3,8,4007.54,0
150,2,652.8,1
311,1,289.24,1
10,2,765.62,0
18,2,186.23,0
151,1,165.07,1
19,5,859.27,0
10,4,2381.04,0
57,2,324.14,0
85,1,788.38,0
7,22,2237.77,2
75,3,1080.76,0
3,18,5074.77,2
95,4,3099.12,0
110,1,1432.0,0
56,2,1530.36,0
1,1,227.39,0
280,2,218.06,1
3,7,2832.84,0
179,9,1653.42,1
372,1,35.400000000000006,1
12,4,859.71,0
3,1,168.63,0
16,1,138.6,0
40,1,114.11,0
5,5,1052.55,0
169,4,1042.26,1
50,1,157.05,0
276,1,237.36,1
18,9,1601.14,0
371,1,39.75,1
15,4,1447.14,0
35,3,570.46,0
21,3,617.99,0
7,2,379.83,0
19,6,1740.6,0
11,2,883.15,0
44,1,221.97,0
305,1,393.33,1
10,1,213.96,0
274,1,660.0,1
1,93,12156.65,2
15,14,16569.5,2
4,4,1785.15,0
72,4,601.56,0
242,3,406.08,1
9,3,553.44,0
245,1,394.44,1
205,2,412.78,1
1,5,1788.36,0
184,1,320.58000000000004,1
32,5,889.25,0
57,2,225.85,0
196,2,899.63,1
23,4,2791.27,0
91,2,671.96,0
4,2,959.01,0
50,3,1006.98,0
262,1,114.56,1
266,1,344.90000000000003,1
36,2,609.85,0
50,1,443.6,0
52,6,2984.49,0
24,6,2125.08,0
21,1,110.46,0
58,1,96.12,0
170,2,693.8100000000001,1
67,2,830.76,0
156,2,597.09,1
1,73,280206.02,3
201,1,243.22,1
4,4,1417.29,0
67,2,654.6,0
77,1,114.18,0
1,7,1947.55,0
8,4,1932.23,0
169,2,291.05,1
17,4,848.22,0
5,2,247.15,0
8,9,2529.93,0
86,2,285.74,0
26,1,107.95,0
28,4,771.17,0
19,2,637.89,0
60,5,1835.7,0
24,1,195.25,0
10,25,9241.2,2
241,3,1269.99,1
280,2,411.53,1
234,2,765.55,1
3,5,1736.4,0
16,1,604.75,0
31,6,2548.24,0
25,16,28754.11,2
71,3,498.95,0
187,2,52.0,1
25,5,1236.28,0
106,1,628.38,0
7,21,5630.87,2
208,1,112.8,1
44,2,371.7,0
30,5,2114.33,0
137,4,591.55,0
264,1,172.9,1
4,7,2078.95,0
218,2,188.61,1
1,5,1250.76,0
214,1,109.13,1
32,3,2235.3,0
10,9,2549.37,0
1,17,3292.14,2
14,1,318.17,0
11,9,1546.91,0
198,1,179.0,1
2,3,1126.37,0
15,13,4921.04,0
14,4,606.13,0
10,11,2868.8,0
29,3,917.07,0
9,11,2666.36,0
24,1,160.19,0
24,4,867.38,0
43,2,329.68,0
1,5,1602.13,0
5,3,663.81,0
147,1,187.92,1
10,6,1158.3,0
24,1,718.08,0
274,1,268.58,1
373,1,313.49,1
1,8,2005.06,0
47,3,380.02,0
8,8,2702.49,0
16,12,9585.91,2
3,32,6065.69,2
3,3,1164.55,0
42,7,1314.45,0
4,7,3902.28,0
197,3,1448.21,1
11,6,1400.34,0
16,7,1099.98,0
112,5,1220.26,0
249,1,328.2,1
29,5,1415.75,0
43,1,389.64,0
87,1,563.15,0
44,2,638.05,0
9,11,5010.28,0
15,1,738.96,0
75,1,420.5,0
144,4,1484.06,0
4,3,1625.97,0
297,1,89.2,1
58,2,255.9,0
263,1,300.52,1
46,1,278.3,0
29,3,254.11,0
8,6,2473.37,0
17,2,192.6,0
2,8,10674.75,0
232,2,876.42,1
112,1,139.26,0
58,3,1011.9,0
51,11,2538.3,0
127,2,730.86,0
280,3,386.15,1
54,2,447.68,0
319,1,200.1,1
26,2,289.99,0
10,2,77.4,0
7,2,679.4399999999999,0
28,1,197.64,0
16,4,745.06,0
63,1,6.2,0
21,1,228.99,0
2,7,1319.91,0
166,1,131.45000000000002,1
1,17,8022.49,2
52,3,173.74,0
51,1,157.7,0
47,12,4339.74,0
61,1,193.14,0
162,3,845.55,1
8,1,353.27,0
15,4,554.65,0
75,1,193.39,0
39,8,2741.17,0
40,11,2087.88,0
369,2,155.43,1
36,2,778.5,0
197,1,271.85,1
200,2,1110.34,1
73,3,657.8,0
64,2,272.07,0
21,4,507.29,0
366,1,48.8,1
180,3,321.43,1
10,4,1127.71,0
3,12,2226.91,0
196,3,2139.76,1
29,4,697.55,0
53,1,197.13,0
17,6,1720.3,0
10,3,102.45,0
89,4,1649.5,0
267,1,62.85,1
53,6,3295.76,0
43,4,2824.69,0
63,4,3189.81,0
148,1,309.4,1
21,25,7930.54,2
311,1,325.75,1
23,2,511.35,0
58,6,2836.69,0
24,2,475.8,0
78,7,2759.83,0
119,2,645.65,0
36,3,1311.38,0
59,2,1173.12,0
12,4,1353.74,0
19,1,170.32,0
52,1,125.79,0
25,2,841.1999999999999,0
29,1,266.76,0
7,2,52.2,0
10,12,14389.9,2
185,3,710.28,1
3,8,2953.59,0
8,2,725.7,0
261,1,327.25,1
3,4,522.38,0
210,1,519.68,1
107,2,1465.3200000000002,0
12,9,1485.54,0
77,3,706.19,0
19,1,255.4,0
26,2,589.7,0
18,6,761.59,0
131,1,765.3199999999999,0
252,1,364.8,1
79,1,1862.0,0
207,1,369.2,1
336,1,135.9,1
253,1,125.65,1
148,2,554.38,1
9,2,1237.85,0
85,1,655.75,0
7,20,11138.71,2
204,2,468.77,1
7,4,1366.38,0
23,6,1303.52,0
11,9,1421.29,0
25,1,332.66,0
21,5,2810.63,0
2,2,1025.44,0
157,2,616.15,1
3,7,3501.1,0
74,1,277.8,0
2,4,434.35,0
1,201,143825.06,3
16,2,867.85,0
35,4,1227.43,0
91,2,307.48,0
70,4,1268.98,0
115,2,1610.15,0
212,2,977.77,1
30,2,1316.07,0
50,1,749.1,0
245,1,310.05,1
32,1,223.88,0
108,3,2372.86,0
4,5,1257.68,0
365,1,363.53,1
81,2,1890.94,0
297,1,1784.71,1
33,8,8137.02,0
56,3,1621.88,0
29,12,5900.25,0
14,1,100.9,0
72,2,290.82,0
23,6,1101.97,0
19,1,371.2,0
79,1,311.69,0
59,11,8099.49,0
25,1,289.82,0
12,1,336.17,0
253,1,58.49,1
147,3,499.68,1
64,4,695.42,0
8,2,221.27,0
10,9,7044.68,0
270,1,126.7,1
9,5,1487.8,0
247,1,206.21,1
96,2,599.0,0
14,1,191.32,0
49,1,463.8,0
30,1,147.59,0
68,4,1592.06,0
35,3,1116.57,0
128,1,114.77,0
107,3,1314.45,0
37,1,114.39,0
57,1,279.94,0
57,7,790.86,0
72,5,1931.42,0
246,1,102.12,1
19,2,213.27,0
198,2,296.75,1
15,2,326.4,0
211,1,334.54,1
38,2,233.23,0
46,3,546.1999999999999,0
170,2,429.87,1
47,1,490.52,0
115,4,1641.76,0
147,1,1246.32,1
15,28,6316.57,2
51,1,502.09,0
159,1,156.91,1
12,3,1261.78,0
35,1,308.94,0
53,2,423.04,0
43,2,260.17,0
172,1,170.04,1
33,1,125.58,0
38,3,496.21,0
266,1,266.0,1
8,9,1914.82,0
11,4,905.04,0
3,11,6802.76,0
9,10,1661.33,0
33,1,377.01,0
80,3,469.0,0
30,4,1066.15,0
8,4,627.13,0
71,2,518.28,0
4,4,668.14,0
256,3,4959.1,1
4,10,2586.67,0
15,8,4308.61,0
89,1,252.73,0
72,3,465.55,0
58,6,705.49,0
9,47,19914.44,2
170,1,180.35,1
199,1,135.93,1
31,1,537.0,0
19,17,7700.23,2
151,2,735.66,1
9,15,5213.77,2
269,1,343.62,1
65,4,384.05,0
273,1,121.17000000000002,1
25,3,1782.09,0
23,3,1391.61,0
319,1,215.78,1
4,3,697.79,0
12,2,302.1,0
275,2,1489.5,1
25,11,2124.99,0
40,9,1337.72,0
8,4,303.09,0
3,48,54534.14,2
71,4,987.86,0
213,1,370.8,1
37,4,3158.13,0
53,1,893.59,0
78,3,1744.76,0
46,2,553.36,0
179,1,1109.53,1
372,1,106.2,1
93,2,982.07,0
9,3,1043.41,0
105,1,748.87,0
77,1,773.03,0
172,1,880.85,1
7,32,9743.11,2
212,4,895.61,1
22,5,504.8,0
256,1,88.2,1
281,1,306.94,1
21,2,1160.07,0
10,6,2420.84,0
308,1,381.32,1
67,1,480.71,0
215,2,457.81,1
18,6,4597.02,0
103,4,1370.6,0
42,1,219.39,0
4,1,248.08,0
182,3,39916.5,2
84,1,410.48,0
333,3,876.0,1
8,2,317.53,0
31,2,703.36,0
196,2,1027.44,1
18,7,2298.93,0
17,5,1422.52,0
311,6,319.5,1
141,4,1300.25,0
245,1,484.95,1
23,4,996.1,0
29,3,1567.48,0
9,3,3609.33,0
30,10,2760.56,0
18,1,340.11,0
17,4,1352.75,0
14,5,1551.78,0
134,1,244.8,0
245,1,266.4,1
133,1,358.82,0
50,2,457.72,0
114,3,1633.78,0
7,2,2199.31,0
22,2,184.19,0
25,15,11528.48,2
65,1,406.53,0
60,4,1471.0,0
50,11,3447.4,0
169,1,330.11,1
18,5,977.93,0
127,3,982.42,0
14,8,1387.99,0
239,1,139.05,1
2,4,1286.7,0
239,2,178.96,1
52,7,2354.25,0
46,1,498.74,0
225,1,259.45,1
8,17,6580.44,2
4,4,1194.73,0
164,2,1327.16,1
240,1,623.5,1
10,1,301.29,0
133,1,520.8000000000001,0
17,10,5314.47,0
9,13,4745.69,0
31,1,329.25,0
75,1,296.42,0
1,3,961.49,0
3,3,1936.07,0
45,1,401.4,0
1,30,18641.01,2
357,1,158.16,1
18,2,304.47,0
68,3,843.05,0
373,1,487.75,1
320,1,163.0,1
25,1,106.56,0
331,1,1289.5,1
8,5,1624.05,0
322,1,135.75,1
71,1,224.14,0
260,1,40.5,1
18,5,2206.95,0
367,1,87.5,1
66,3,689.4799999999999,0
154,2,622.85,1
29,2,406.76,0
70,1,310.62,0
14,2,411.41,0
1,16,4777.18,2
1,41,16225.39,2
119,3,1044.32,0
60,1,499.32,0
3,15,7616.53,2
2,1,3861.0,0
10,3,1079.61,0
92,2,193.64,0
59,4,1268.7,0
87,5,1236.54,0
25,6,1827.8,0
357,1,316.58,1
85,2,653.24,0
10,4,420.3,0
1,5,870.12,0
225,1,331.18,1
60,2,894.4100000000001,0
241,1,101.8,1
318,2,328.35,1
1,8,1661.44,0
46,3,734.94,0
87,1,96.6,0
10,11,5756.89,0
176,1,305.75,1
51,6,1778.96,0
366,1,403.25,1
318,1,585.0,1
225,2,755.75,1
358,2,322.08,1
234,1,409.4,1
310,1,154.41,1
36,5,1219.4,0
66,4,3386.71,0
239,2,429.6,1
113,2,612.06,0
276,1,197.0,1
217,12,2247.51,1
298,1,321.05,1
1,4,1412.32,0
29,3,1071.99,0
10,2,780.59,0
44,5,1706.57,0
66,8,1756.44,0
74,1,316.68,0
65,2,631.57,0
134,3,2515.84,0
238,2,514.15,1
122,1,356.0,0
31,13,6688.46,2
9,11,10484.99,0
36,2,740.78,0
16,5,918.2,0
127,1,300.36,0
66,1,890.85,0
148,1,98.45,1
283,1,317.15,1
168,2,623.16,1
100,7,1810.77,0
135,1,254.82,0
323,1,178.95000000000002,1
106,1,156.51,0
64,1,393.74,0
151,2,1506.12,1
338,1,119.3,1
22,5,1717.36,0
23,1,408.8,0
15,7,2379.49,0
7,15,2507.07,2
57,2,721.94,0
4,2,716.57,0
37,1,615.14,0
66,1,135.31,0
46,1,255.9,0
354,1,290.51,1
172,1,113.12,1
58,9,2332.15,0
49,1,240.55,0
22,2,486.69,0
43,5,2306.52,0
29,3,939.78,0
4,18,7943.22,2
25,15,4668.3,2
201,1,180.94,1
50,6,3672.86,0
10,3,641.94,0
2,12,4799.9,0
67,7,4507.01,0
64,1,496.44,0
50,12,5070.35,0
290,1,574.02,1
60,8,694.4000000000001,0
64,3,1174.35,0
